id,node_label,network
1,ExStr_1_L,1
2,ExStr_2_L,1
3,ExStr_3_L,1
4,ExStr_4_L,1
5,ExStr_5_L,1
6,ExStr_6_L,1
7,Striate_1_L,1
8,ExStr_7_L,1
9,ExStr_8_L,1
10,ExStr_9_L,1
11,ExStr_10_L,1
12,ExStr_11_L,1
13,ExStrInf_1_L,1
14,ExStrInf_2_L,1
15,ExStrInf_3_L,1
16,ExStrInf_4_L,1
17,ExStrInf_5_L,1
18,StriCal_1_L,1
19,StriCal_2_L,1
20,ExStrSup_1_L,1
21,ExStrSup_2_L,1
22,ExStrSup_3_L,1
23,ExStrSup_4_L,1
24,ExStrSup_5_L,1
25,SomMotA_1_L,2
26,SomMotA_2_L,2
27,SomMotA_3_L,2
28,SomMotA_4_L,2
29,SomMotA_5_L,2
30,SomMotA_6_L,2
31,SomMotA_7_L,2
32,SomMotA_8_L,2
33,SomMotA_9_L,2
34,SomMotA_10_L,2
35,SomMotA_11_L,2
36,SomMotA_12_L,2
37,SomMotA_13_L,2
38,SomMotA_14_L,2
39,SomMotA_15_L,2
40,SomMotA_16_L,2
41,SomMotA_17_L,2
42,SomMotA_18_L,2
43,SomMotA_19_L,2
44,Aud_1_L,2
45,Aud_2_L,2
46,Ins_1_L,2
47,S2_1_L,2
48,S2_2_L,2
49,Aud_3_L,2
50,Aud_4_L,2
51,S2_3_L,2
52,S2_4_L,2
53,S2_5_L,2
54,S2_6_L,2
55,Cent_1_L,2
56,Cent_2_L,2
57,Cent_3_L,2
58,Cent_4_L,2
59,Cent_5_L,2
60,TempOcc_1_L,3
61,TempOcc_2_L,3
62,TempOcc_3_L,3
63,TempOcc_4_L,3
64,ParOcc_1_L,3
65,ParOcc_2_L,3
66,SPL_1_L,3
67,SPL_2_L,3
68,SPL_3_L,3
69,SPL_4_L,3
70,SPL_5_L,3
71,SPL_6_L,3
72,SPL_7_L,3
73,PostC_1_L,3
74,PostC_2_L,3
75,PostC_3_L,3
76,PostC_4_L,3
77,PostC_5_L,3
78,PostC_6_L,3
79,PostC_7_L,3
80,PostC_8_L,3
81,PostC_9_L,3
82,FEF_1_L,3
83,FEF_2_L,3
84,FEF_3_L,3
85,PrCv_1_L,3
86,ParOper_1_L,4
87,ParOper_2_L,4
88,ParOper_3_L,4
89,Ins_1_L,4
90,Ins_2_L,4
91,Ins_3_L,4
92,Ins_4_L,4
93,FrOper_1_L,4
94,FrOper_2_L,4
95,ParMed_1_L,4
96,ParMed_2_L,4
97,ParMed_3_L,4
98,FrMed_1_L,4
99,FrMed_2_L,4
100,FrMed_3_L,4
101,PFCl_1_L,4
102,PFCl_2_L,4
103,PFCl_3_L,4
104,Ins_1_L,4
105,Ins_2_L,4
106,Ins_3_L,4
107,OFC_1_L,4
108,PFCmp_1_L,4
109,OFC_1_L,5
110,OFC_2_L,5
111,OFC_3_L,5
112,OFC_4_L,5
113,OFC_5_L,5
114,TempPole_1_L,5
115,TempPole_2_L,5
116,TempPole_3_L,5
117,TempPole_4_L,5
118,TempPole_5_L,5
119,TempPole_6_L,5
120,TempPole_7_L,5
121,Temp_1_L,6
122,IPS_1_L,6
123,IPS_2_L,6
124,IPS_3_L,6
125,IPS_4_L,6
126,IPS_5_L,6
127,PFCd_1_L,6
128,PFClv_1_L,6
129,PFClv_2_L,6
130,PFCl_1_L,6
131,PFCl_2_L,6
132,PFCl_3_L,6
133,Cingm_1_L,6
134,Temp_1_L,6
135,Temp_2_L,6
136,IPL_1_L,6
137,IPL_2_L,6
138,IPL_3_L,6
139,PFCd_1_L,6
140,PFClv_1_L,6
141,PFClv_2_L,6
142,PFClv_3_L,6
143,PFCmp_1_L,6
144,pCun_1_L,6
145,pCun_2_L,6
146,pCun_3_L,6
147,Cingp_1_L,6
148,Cingp_2_L,6
149,IPL_1_L,7
150,IPL_2_L,7
151,PFCd_1_L,8
152,PFCd_2_L,8
153,PFCd_3_L,8
154,pCunPCC_1_L,7
155,pCunPCC_2_L,7
156,pCunPCC_3_L,7
157,pCunPCC_4_L,7
158,pCunPCC_5_L,7
159,pCunPCC_6_L,7
160,pCunPCC_7_L,7
161,PFCm_1_L,7
162,PFCm_2_L,7
163,PFCm_3_L,7
164,PFCm_4_L,7
165,PFCm_5_L,7
166,PFCm_6_L,7
167,Temp_1_L,8
168,Temp_2_L,8
169,Temp_3_L,8
170,Temp_4_L,8
171,Temp_5_L,8
172,Temp_6_L,8
173,IPL_1_L,8
174,IPL_2_L,8
175,PFCd_1_L,8
176,PFCd_2_L,8
177,PFCd_3_L,8
178,PFCd_4_L,8
179,PFCd_5_L,8
180,PFCd_6_L,8
181,PFCl_1_L,8
182,PFCl_2_L,8
183,PFCv_1_L,8
184,PFCv_2_L,8
185,PFCv_3_L,8
186,PFCv_4_L,8
187,PFCv_5_L,8
188,IPL_1_L,9
189,Rsp_1_L,9
190,Rsp_2_L,9
191,Rsp_3_L,9
192,PHC_1_L,9
193,PHC_2_L,9
194,PHC_3_L,9
195,ExStr_1_R,1
196,ExStr_2_R,1
197,ExStr_3_R,1
198,ExStr_4_R,1
199,ExStr_5_R,1
200,ExStr_6_R,1
201,Striate_1_R,1
202,ExStr_7_R,1
203,ExStr_8_R,1
204,ExStr_9_R,1
205,ExStr_10_R,1
206,ExStr_11_R,1
207,ExStrInf_1_R,1
208,ExStrInf_2_R,1
209,ExStrInf_3_R,1
210,ExStrInf_4_R,1
211,ExStrInf_5_R,1
212,StriCal_1_R,1
213,StriCal_2_R,1
214,ExStrSup_1_R,1
215,ExStrSup_2_R,1
216,ExStrSup_3_R,1
217,ExStrSup_4_R,1
218,SomMotA_1_R,2
219,SomMotA_2_R,2
220,SomMotA_3_R,2
221,SomMotA_4_R,2
222,SomMotA_5_R,2
223,SomMotA_6_R,2
224,SomMotA_7_R,2
225,SomMotA_8_R,2
226,SomMotA_9_R,2
227,SomMotA_10_R,2
228,SomMotA_11_R,2
229,SomMotA_12_R,2
230,SomMotA_13_R,2
231,SomMotA_14_R,2
232,SomMotA_15_R,2
233,SomMotA_16_R,2
234,SomMotA_17_R,2
235,SomMotA_18_R,2
236,SomMotA_19_R,2
237,SomMotA_20_R,2
238,Aud_1_R,2
239,Aud_2_R,2
240,Ins_1_R,2
241,S2_1_R,2
242,S2_2_R,2
243,Aud_3_R,2
244,S2_3_R,2
245,S2_4_R,2
246,S2_5_R,2
247,S2_6_R,2
248,S2_7_R,2
249,S2_8_R,2
250,Cent_1_R,2
251,Cent_2_R,2
252,Cent_3_R,2
253,TempOcc_1_R,3
254,TempOcc_2_R,3
255,TempOcc_3_R,3
256,ParOcc_1_R,3
257,ParOcc_2_R,3
258,ParOcc_3_R,3
259,SPL_1_R,3
260,SPL_2_R,3
261,SPL_3_R,3
262,SPL_4_R,3
263,SPL_5_R,3
264,SPL_6_R,3
265,SPL_7_R,3
266,SPL_8_R,3
267,TempOcc_1_R,3
268,PostC_1_R,3
269,PostC_2_R,3
270,PostC_3_R,3
271,PostC_4_R,3
272,PostC_5_R,3
273,PostC_6_R,3
274,PostC_7_R,3
275,PostC_8_R,3
276,FEF_1_R,3
277,FEF_2_R,3
278,FEF_3_R,3
279,ParOper_1_R,4
280,ParOper_2_R,4
281,ParOper_3_R,4
